HomeTeam,AwayTeam,Penalties,Date,Time,Year,Home Team Goals,Away Team Goals,Total Goals Scored
Portugal,Netherlands,[],25 June 2006,21:00,2006,1,0,1
Italy,Australia,[],26 June 2006,17:00,2006,1,0,1
Switzerland,Ukraine,['0–3'],26 June 2006,21:00,2006,0,0,0
Spain,France,[],27 June 2006,21:00,2006,1,3,4
Germany,Argentina,['4–2'],30 June 2006,17:00,2006,1,1,2
Italy,Ukraine,[],30 June 2006,21:00,2006,3,0,3
England,Portugal,['1–3'],1 July 2006,17:00,2006,0,0,0
Brazil,France,[],1 July 2006,21:00,2006,0,1,1
Germany,Italy,[],4 July 2006,21:00,2006,0,2,2
Portugal,France,[],5 July 2006,21:00,2006,0,1,1
Germany,Portugal,[],8 July 2006,21:00,2006,3,1,4
Japan,Croatia,[],18 June 2006,15:00,2006,0,0,0
Italy,France,['5–3'],9 July 2006,20:00,2006,1,1,2
Germany,Sweden,[],24 June 2006,17:00,2006,2,0,2
Brazil,Ghana,[],27 June 2006,17:00,2006,3,0,3
Brazil,Croatia,[],13 June 2006,21:00,2006,1,0,1
Ghana,United States,[],22 June 2006,16:00,2006,2,1,3
Australia,Japan,[],12 June 2006,15:00,2006,3,1,4
Germany,Costa Rica,[],9 June 2006,18:00,2006,4,2,6
Poland,Ecuador,[],9 June 2006,21:00,2006,0,2,2
Germany,Poland,[],14 June 2006,21:00,2006,1,0,1
Ecuador,Costa Rica,[],15 June 2006,15:00,2006,3,0,3
Ecuador,Germany,[],20 June 2006,16:00,2006,0,3,3
Costa Rica,Poland,[],20 June 2006,16:00,2006,1,2,3
England,Paraguay,[],10 June 2006,15:00,2006,1,0,1
England,Trinidad and Tobago,[],15 June 2006,18:00,2006,2,0,2
Sweden,Paraguay,[],15 June 2006,21:00,2006,1,0,1
Sweden,England,[],20 June 2006,21:00,2006,2,2,4
Paraguay,Trinidad and Tobago,[],20 June 2006,21:00,2006,2,0,2
Argentina,Ivory Coast,[],10 June 2006,21:00,2006,2,1,3
Serbia and Montenegro,Netherlands,[],11 June 2006,15:00,2006,0,1,1
Trinidad and Tobago,Sweden,[],10 June 2006,18:00,2006,0,0,0
Netherlands,Ivory Coast,[],16 June 2006,18:00,2006,2,1,3
Czech Republic,Italy,[],22 June 2006,16:00,2006,0,2,2
Argentina,Serbia and Montenegro,[],16 June 2006,15:00,2006,6,0,6
Italy,United States,[],17 June 2006,21:00,2006,1,1,2
Czech Republic,Ghana,[],17 June 2006,18:00,2006,0,2,2
Italy,Ghana,[],12 June 2006,21:00,2006,2,0,2
Iran,Angola,[],21 June 2006,16:00,2006,1,1,2
Portugal,Mexico,[],21 June 2006,16:00,2006,2,1,3
United States,Czech Republic,[],12 June 2006,18:00,2006,0,3,3
Mexico,Angola,[],16 June 2006,21:00,2006,0,0,0
Angola,Portugal,[],11 June 2006,21:00,2006,0,1,1
Mexico,Iran,[],11 June 2006,18:00,2006,3,1,4
Ivory Coast,Serbia and Montenegro,[],21 June 2006,21:00,2006,3,2,5
Netherlands,Argentina,[],21 June 2006,21:00,2006,0,0,0
Portugal,Iran,[],17 June 2006,15:00,2006,2,0,2
Spain,Honduras,[],21 June 2010,20:30,2010,2,0,2
Honduras,Chile,[],16 June 2010,13:30,2010,0,1,1
Netherlands,Spain,[],11 July 2010,20:30,2010,0,1,1
Chile,Switzerland,[],21 June 2010,16:00,2010,1,0,1
Spain,Switzerland,[],16 June 2010,16:00,2010,0,1,1
North Korea,Ivory Coast,[],25 June 2010,16:00,2010,0,3,3
Slovakia,Italy,[],24 June 2010,16:00,2010,3,2,5
Portugal,North Korea,[],21 June 2010,13:30,2010,7,0,7
Brazil,Ivory Coast,[],20 June 2010,20:30,2010,3,1,4
Brazil,North Korea,[],15 June 2010,20:30,2010,2,1,3
Ivory Coast,Portugal,[],15 June 2010,16:00,2010,0,0,0
Paraguay,New Zealand,[],24 June 2010,16:00,2010,0,0,0
Chile,Spain,[],25 June 2010,20:30,2010,1,2,3
Portugal,Brazil,[],25 June 2010,16:00,2010,0,0,0
Switzerland,Honduras,[],25 June 2010,20:30,2010,0,0,0
Uruguay,Germany,[],10 July 2010,20:30,2010,2,3,5
United States,Ghana,[],26 June 2010,20:30,2010,1,2,3
Germany,England,[],27 June 2010,16:00,2010,4,1,5
Argentina,Mexico,[],27 June 2010,20:30,2010,3,1,4
Netherlands,Slovakia,[],28 June 2010,16:00,2010,2,1,3
Brazil,Chile,[],28 June 2010,20:30,2010,3,0,3
Paraguay,Japan,['5–3'],29 June 2010,16:00,2010,0,0,0
Spain,Portugal,[],29 June 2010,20:30,2010,1,0,1
Netherlands,Brazil,[],2 July 2010,16:00,2010,2,1,3
Uruguay,Ghana,['4–2'],2 July 2010,20:30,2010,1,1,2
Argentina,Germany,[],3 July 2010,16:00,2010,0,4,4
Paraguay,Spain,[],3 July 2010,20:30,2010,0,1,1
Uruguay,Netherlands,[],6 July 2010,20:30,2010,2,3,5
Germany,Spain,[],7 July 2010,20:30,2010,0,1,1
Italy,New Zealand,[],20 June 2010,16:00,2010,1,1,2
Uruguay,South Korea,[],26 June 2010,16:00,2010,2,1,3
Slovakia,Paraguay,[],20 June 2010,13:30,2010,0,2,2
Serbia,Ghana,[],13 June 2010,16:00,2010,0,1,1
Italy,Paraguay,[],14 June 2010,20:30,2010,1,1,2
South Africa,Mexico,[],11 June 2010,16:00,2010,1,1,2
Uruguay,France,[],11 June 2010,20:30,2010,0,0,0
South Africa,Uruguay,[],16 June 2010,20:30,2010,0,3,3
France,Mexico,[],17 June 2010,20:30,2010,0,2,2
Mexico,Uruguay,[],22 June 2010,16:00,2010,0,1,1
France,South Africa,[],22 June 2010,16:00,2010,1,2,3
South Korea,Greece,[],12 June 2010,13:30,2010,2,0,2
Argentina,Nigeria,[],12 June 2010,16:00,2010,1,0,1
Argentina,South Korea,[],17 June 2010,13:30,2010,4,1,5
Greece,Nigeria,[],17 June 2010,16:00,2010,2,1,3
Nigeria,South Korea,[],22 June 2010,20:30,2010,2,2,4
Greece,Argentina,[],22 June 2010,20:30,2010,0,2,2
England,United States,[],12 June 2010,20:30,2010,1,1,2
Algeria,Slovenia,[],13 June 2010,13:30,2010,0,1,1
New Zealand,Slovakia,[],15 June 2010,13:30,2010,1,1,2
England,Algeria,[],18 June 2010,20:30,2010,0,0,0
Cameroon,Netherlands,[],24 June 2010,20:30,2010,1,2,3
Denmark,Japan,[],24 June 2010,20:30,2010,1,3,4
Cameroon,Denmark,[],19 June 2010,20:30,2010,1,2,3
Netherlands,Japan,[],19 June 2010,13:30,2010,1,0,1
Slovenia,United States,[],18 June 2010,16:00,2010,2,2,4
Netherlands,Denmark,[],14 June 2010,13:30,2010,2,0,2
Japan,Cameroon,[],14 June 2010,16:00,2010,1,0,1
Ghana,Germany,[],23 June 2010,20:30,2010,0,1,1
Ghana,Australia,[],19 June 2010,16:00,2010,1,1,2
Germany,Serbia,[],18 June 2010,13:30,2010,0,1,1
Germany,Australia,[],13 June 2010,20:30,2010,4,0,4
United States,Algeria,[],23 June 2010,16:00,2010,1,0,1
Slovenia,England,[],23 June 2010,16:00,2010,0,1,1
Australia,Serbia,[],23 June 2010,20:30,2010,2,1,3
South Korea,Belgium,[],26 June 2014,17:00,2014,0,1,1
South Korea,Algeria,[],22 June 2014,16:00,2014,2,4,6
Belgium,Russia,[],22 June 2014,13:00,2014,1,0,1
Russia,South Korea,[],17 June 2014,18:00,2014,1,1,2
Belgium,Algeria,[],17 June 2014,13:00,2014,2,1,3
Bosnia and Herzegovina,Iran,[],25 June 2014,13:00,2014,3,1,4
United States,Germany,[],26 June 2014,13:00,2014,0,1,1
United States,Portugal,[],22 June 2014,18:00,2014,2,2,4
Germany,Ghana,[],21 June 2014,16:00,2014,2,2,4
Ghana,United States,[],16 June 2014,19:00,2014,1,2,3
Germany,Portugal,[],16 June 2014,13:00,2014,4,0,4
Algeria,Russia,[],26 June 2014,17:00,2014,1,1,2
Portugal,Ghana,[],26 June 2014,13:00,2014,2,1,3
Brazil,Chile,['3–2'],28 June 2014,13:00,2014,1,1,2
France,Germany,[],4 July 2014,13:00,2014,0,1,1
Netherlands,Mexico,[],29 June 2014,13:00,2014,2,1,3
Costa Rica,Greece,['5–3'],29 June 2014,17:00,2014,1,1,2
France,Nigeria,[],30 June 2014,13:00,2014,2,0,2
Germany,Algeria,[],30 June 2014,17:00,2014,2,1,3
Argentina,Switzerland,[],1 July 2014,13:00,2014,1,0,1
Belgium,United States,[],1 July 2014,17:00,2014,2,1,3
Brazil,Colombia,[],4 July 2014,17:00,2014,2,1,3
Argentina,Belgium,[],5 July 2014,13:00,2014,1,0,1
Netherlands,Costa Rica,['4–3'],5 July 2014,17:00,2014,0,0,0
Brazil,Germany,[],8 July 2014,17:00,2014,1,7,8
Netherlands,Argentina,['2–4'],9 July 2014,17:00,2014,0,0,0
Brazil,Netherlands,[],12 July 2014,17:00,2014,0,3,3
Germany,Argentina,[],13 July 2014,16:00,2014,1,0,1
Nigeria,Argentina,[],25 June 2014,13:00,2014,2,3,5
Colombia,Uruguay,[],28 June 2014,17:00,2014,2,0,2
Nigeria,Bosnia and Herzegovina,[],21 June 2014,18:00,2014,1,0,1
Argentina,Iran,[],21 June 2014,13:00,2014,1,0,1
Brazil,Croatia,[],12 June 2014,17:00,2014,3,1,4
Iran,Nigeria,[],16 June 2014,16:00,2014,0,0,0
Mexico,Cameroon,[],13 June 2014,13:00,2014,1,0,1
Brazil,Mexico,[],17 June 2014,16:00,2014,0,0,0
Cameroon,Croatia,[],18 June 2014,18:00,2014,0,4,4
Cameroon,Brazil,[],23 June 2014,17:00,2014,1,4,5
Croatia,Mexico,[],23 June 2014,17:00,2014,1,3,4
Spain,Netherlands,[],13 June 2014,16:00,2014,1,5,6
Chile,Australia,[],13 June 2014,18:00,2014,3,1,4
Spain,Chile,[],18 June 2014,16:00,2014,0,2,2
Australia,Spain,[],23 June 2014,13:00,2014,0,3,3
Netherlands,Chile,[],23 June 2014,13:00,2014,2,0,2
Colombia,Greece,[],14 June 2014,13:00,2014,3,0,3
Ivory Coast,Japan,[],14 June 2014,22:00,2014,2,1,3
Colombia,Ivory Coast,[],19 June 2014,13:00,2014,2,1,3
Japan,Greece,[],19 June 2014,19:00,2014,0,0,0
Australia,Netherlands,[],18 June 2014,13:00,2014,2,3,5
Greece,Ivory Coast,[],24 June 2014,17:00,2014,2,1,3
Japan,Colombia,[],24 June 2014,16:00,2014,1,4,5
Ecuador,France,[],25 June 2014,17:00,2014,0,0,0
Honduras,Switzerland,[],25 June 2014,16:00,2014,0,3,3
Honduras,Ecuador,[],20 June 2014,19:00,2014,1,2,3
Switzerland,France,[],20 June 2014,16:00,2014,2,5,7
France,Honduras,[],15 June 2014,16:00,2014,3,0,3
Switzerland,Ecuador,[],15 June 2014,13:00,2014,2,1,3
Argentina,Bosnia and Herzegovina,[],15 June 2014,19:00,2014,2,1,3
Italy,Uruguay,[],24 June 2014,13:00,2014,0,1,1
Italy,Costa Rica,[],20 June 2014,13:00,2014,0,1,1
Uruguay,England,[],19 June 2014,16:00,2014,2,1,3
England,Italy,[],14 June 2014,18:00,2014,1,2,3
Uruguay,Costa Rica,[],14 June 2014,16:00,2014,1,3,4
Costa Rica,England,[],24 June 2014,13:00,2014,0,0,0
France,Croatia,[],15 July 2018,18:00,2018,4,2,6
Japan,Poland,[],28 June 2018,17:00,2018,0,1,1
Poland,Colombia,[],24 June 2018,21:00,2018,0,3,3
Japan,Senegal,[],24 June 2018,20:00,2018,2,2,4
Poland,Senegal,[],19 June 2018,18:00,2018,1,2,3
Colombia,Japan,[],19 June 2018,15:00,2018,1,2,3
Panama,Tunisia,[],28 June 2018,21:00,2018,1,2,3
Belgium,Tunisia,[],23 June 2018,15:00,2018,5,2,7
England,Panama,[],24 June 2018,15:00,2018,6,1,7
Tunisia,England,[],18 June 2018,21:00,2018,1,2,3
Belgium,Panama,[],18 June 2018,18:00,2018,3,0,3
Mexico,Sweden,[],27 June 2018,19:00,2018,0,3,3
South Korea,Germany,[],27 June 2018,17:00,2018,2,0,2
England,Belgium,[],28 June 2018,20:00,2018,0,1,1
Senegal,Colombia,[],28 June 2018,18:00,2018,0,1,1
Germany,Sweden,[],23 June 2018,21:00,2018,2,1,3
Uruguay,Portugal,[],30 June 2018,21:00,2018,2,1,3
Spain,Russia,['3–4'],1 July 2018,17:00,2018,1,1,2
Croatia,Denmark,['3–2'],1 July 2018,21:00,2018,1,1,2
Brazil,Mexico,[],2 July 2018,18:00,2018,2,0,2
Belgium,Japan,[],2 July 2018,21:00,2018,3,2,5
Sweden,Switzerland,[],3 July 2018,17:00,2018,1,0,1
Colombia,England,['3–4'],3 July 2018,21:00,2018,1,1,2
Uruguay,France,[],6 July 2018,17:00,2018,0,2,2
Brazil,Belgium,[],6 July 2018,21:00,2018,1,2,3
Sweden,England,[],7 July 2018,18:00,2018,0,2,2
Russia,Croatia,['3–4'],7 July 2018,21:00,2018,2,2,4
France,Belgium,[],10 July 2018,21:00,2018,1,0,1
Croatia,England,[],11 July 2018,21:00,2018,2,1,3
Belgium,England,[],14 July 2018,17:00,2018,2,0,2
France,Argentina,[],30 June 2018,17:00,2018,4,3,7
South Korea,Mexico,[],23 June 2018,18:00,2018,1,2,3
Denmark,France,[],26 June 2018,17:00,2018,0,0,0
Germany,Mexico,[],17 June 2018,18:00,2018,0,1,1
Sweden,South Korea,[],18 June 2018,15:00,2018,1,0,1
Russia,Saudi Arabia,[],14 June 2018,18:00,2018,5,0,5
Egypt,Uruguay,[],15 June 2018,17:00,2018,0,1,1
Russia,Egypt,[],19 June 2018,21:00,2018,3,1,4
Uruguay,Saudi Arabia,[],20 June 2018,18:00,2018,1,0,1
Uruguay,Russia,[],25 June 2018,18:00,2018,3,0,3
Saudi Arabia,Egypt,[],25 June 2018,17:00,2018,2,1,3
Morocco,Iran,[],15 June 2018,18:00,2018,0,1,1
Portugal,Morocco,[],20 June 2018,15:00,2018,1,0,1
Iran,Spain,[],20 June 2018,21:00,2018,0,1,1
Iran,Portugal,[],25 June 2018,21:00,2018,1,1,2
Spain,Morocco,[],25 June 2018,20:00,2018,2,2,4
France,Australia,[],16 June 2018,13:00,2018,2,1,3
Peru,Denmark,[],16 June 2018,19:00,2018,0,1,1
Portugal,Spain,[],15 June 2018,21:00,2018,3,3,6
France,Peru,[],21 June 2018,20:00,2018,1,0,1
Denmark,Australia,[],21 June 2018,16:00,2018,1,1,2
Serbia,Brazil,[],27 June 2018,21:00,2018,0,2,2
Serbia,Switzerland,[],22 June 2018,20:00,2018,1,2,3
Brazil,Costa Rica,[],22 June 2018,15:00,2018,2,0,2
Brazil,Switzerland,[],17 June 2018,21:00,2018,1,1,2
Iceland,Croatia,[],26 June 2018,21:00,2018,1,2,3
Costa Rica,Serbia,[],17 June 2018,16:00,2018,0,1,1
Switzerland,Costa Rica,[],27 June 2018,21:00,2018,2,2,4
Nigeria,Iceland,[],22 June 2018,18:00,2018,2,0,2
Argentina,Croatia,[],21 June 2018,21:00,2018,0,3,3
Croatia,Nigeria,[],16 June 2018,21:00,2018,2,0,2
Argentina,Iceland,[],16 June 2018,16:00,2018,1,1,2
Australia,Peru,[],26 June 2018,17:00,2018,0,2,2
Nigeria,Argentina,[],26 June 2018,21:00,2018,1,2,3
Cameroon,Brazil,[],2 December 2022,22:00,2022,1,0,1
South Korea,Ghana,[],28 November 2022,16:00,2022,2,3,5
Portugal,Ghana,[],24 November 2022,19:00,2022,3,2,5
Uruguay,South Korea,[],24 November 2022,16:00,2022,0,0,0
Serbia,Switzerland,[],2 December 2022,22:00,2022,2,3,5
Croatia,Canada,[],27 November 2022,19:00,2022,4,1,5
Cameroon,Serbia,[],28 November 2022,13:00,2022,3,3,6
Brazil,Serbia,[],24 November 2022,22:00,2022,2,0,2
Switzerland,Cameroon,[],24 November 2022,13:00,2022,1,0,1
Canada,Morocco,[],1 December 2022,18:00,2022,1,2,3
Croatia,Belgium,[],1 December 2022,18:00,2022,0,0,0
Portugal,Uruguay,[],28 November 2022,22:00,2022,2,0,2
Brazil,Switzerland,[],28 November 2022,19:00,2022,1,0,1
Ghana,Uruguay,[],2 December 2022,18:00,2022,0,2,2
France,Morocco,[],14 December 2022,22:00,2022,2,0,2
Netherlands,United States,[],3 December 2022,18:00,2022,3,1,4
Argentina,Australia,[],3 December 2022,22:00,2022,2,1,3
France,Poland,[],4 December 2022,18:00,2022,3,1,4
England,Senegal,[],4 December 2022,22:00,2022,3,0,3
Japan,Croatia,['1–3'],5 December 2022,18:00,2022,1,1,2
Brazil,South Korea,[],5 December 2022,22:00,2022,4,1,5
Morocco,Spain,['3–0'],6 December 2022,18:00,2022,0,0,0
Portugal,Switzerland,[],6 December 2022,22:00,2022,6,1,7
Croatia,Brazil,['4–2'],9 December 2022,18:00,2022,1,1,2
Netherlands,Argentina,['3–4'],9 December 2022,22:00,2022,2,2,4
Morocco,Portugal,[],10 December 2022,18:00,2022,1,0,1
England,France,[],10 December 2022,22:00,2022,1,2,3
Argentina,Croatia,[],13 December 2022,22:00,2022,3,0,3
Belgium,Morocco,[],27 November 2022,16:00,2022,0,2,2
South Korea,Portugal,[],2 December 2022,18:00,2022,2,1,3
Belgium,Canada,[],23 November 2022,22:00,2022,1,0,1
Poland,Argentina,[],30 November 2022,22:00,2022,0,2,2
Costa Rica,Germany,[],1 December 2022,22:00,2022,2,4,6
Croatia,Morocco,[],17 December 2022,18:00,2022,2,1,3
Qatar,Ecuador,[],20 November 2022,19:00,2022,0,2,2
Senegal,Netherlands,[],21 November 2022,19:00,2022,0,2,2
Qatar,Senegal,[],25 November 2022,16:00,2022,1,3,4
Netherlands,Ecuador,[],25 November 2022,19:00,2022,1,1,2
Ecuador,Senegal,[],29 November 2022,18:00,2022,1,2,3
Netherlands,Qatar,[],29 November 2022,18:00,2022,2,0,2
England,Iran,[],21 November 2022,16:00,2022,6,2,8
United States,Wales,[],21 November 2022,22:00,2022,1,1,2
Wales,Iran,[],25 November 2022,13:00,2022,0,2,2
England,United States,[],25 November 2022,22:00,2022,0,0,0
Wales,England,[],29 November 2022,22:00,2022,0,3,3
Iran,United States,[],29 November 2022,22:00,2022,0,1,1
Argentina,Saudi Arabia,[],22 November 2022,13:00,2022,1,2,3
Mexico,Poland,[],22 November 2022,19:00,2022,0,0,0
Poland,Saudi Arabia,[],26 November 2022,16:00,2022,2,0,2
Argentina,Mexico,[],26 November 2022,22:00,2022,2,0,2
Saudi Arabia,Mexico,[],30 November 2022,22:00,2022,1,2,3
Denmark,Tunisia,[],22 November 2022,16:00,2022,0,0,0
France,Australia,[],22 November 2022,22:00,2022,4,1,5
Tunisia,Australia,[],26 November 2022,13:00,2022,0,1,1
France,Denmark,[],26 November 2022,19:00,2022,2,1,3
Australia,Denmark,[],30 November 2022,18:00,2022,1,0,1
Tunisia,France,[],30 November 2022,18:00,2022,1,0,1
Germany,Japan,[],23 November 2022,16:00,2022,1,2,3
Spain,Costa Rica,[],23 November 2022,19:00,2022,7,0,7
Japan,Costa Rica,[],27 November 2022,13:00,2022,0,1,1
Spain,Germany,[],27 November 2022,22:00,2022,1,1,2
Japan,Spain,[],1 December 2022,22:00,2022,2,1,3
Morocco,Croatia,[],23 November 2022,13:00,2022,0,0,0
Argentina,France,['4–2'],18 December 2022,18:00,2022,3,3,6
